,min,max,median,mean,std
ARI_understand_0,0.0,398.2161160151324,14.908229984301414,18.072781013238412,31.904878880288315
ARI_understand_1,-4.370000000000001,341.25593373493973,12.510909090909088,15.107890055523574,19.692666538210936
FleshReadingEase_understand_0,-742.5094325346784,205.82,43.357499194198255,43.4604263599427,70.1990361596451
FleshReadingEase_understand_1,-663.9728915662649,205.82,52.08689265536726,46.458127745263,47.72305107263547
Kincaid_understand_0,-15.2,313.82779319041623,12.471886775556989,14.33426622748866,25.264863770577676
Kincaid_understand_1,-15.2,270.82632530120486,10.654545454545453,12.378380399478921,15.707938354164794
word_unique_understand_0,0.0,387.0,91.5,125.1842105263158,98.37301769270185
word_unique_understand_1,0.0,409.0,129.0,142.74304068522483,100.71814201348512
transition_words_understand_0,0.0,18.0,4.0,4.618421052631579,3.702396235921511
transition_words_understand_1,0.0,20.0,4.0,5.137044967880086,3.818081310961722
summary_words_understand_0,0.0,1.0,0.0,0.006578947368421052,0.08111071056538126
summary_words_understand_1,0.0,1.0,0.0,0.019271948608137045,0.13762666785544533
active_verb_understand_0,0.0,150.0,14.5,27.519736842105264,33.39289895460622
active_verb_understand_1,0.0,182.0,21.0,33.78586723768736,35.4615970341734
word_count_understand_0,0.0,855.0,136.5,224.75,229.08722564482372
word_count_understand_1,0.0,951.0,188.0,258.08993576017133,229.4952486380072
sentence_count_understand_0,0.0,49.0,5.0,10.052631578947368,11.19353495625977
sentence_count_understand_1,0.0,79.0,8.0,13.032119914346895,13.274464676555096
keyword_title_cosine_understand_0,0.0,1.0000000000000002,0.25913434280013137,0.27414923001078356,0.25373449911295937
keyword_title_cosine_understand_1,0.0,1.0000000000000002,0.172949463919587,0.21255662138256626,0.210425413080557
keyword_decription_cosine_understand_0,0.0,0.4521885509279122,0.0739849839761386,0.09016086699573467,0.09210060072299753
keyword_decription_cosine_understand_1,0.0,0.8172446587285709,0.0566693705243923,0.08476815458965434,0.09824974086676248
channelSubscriberCount_understand_0,0.0,11451418.0,8122.0,589731.5328947369,2016005.9837804441
channelSubscriberCount_understand_1,0.0,11451281.0,31804.0,762803.2526766595,1902538.301287029
channelViewCount_understand_0,442.0,8662169104.0,2036885.5,223808172.02631578,908585480.4116268
channelViewCount_understand_1,217.0,8662169104.0,7076991.0,215025827.76659527,695391829.044024
channelCommentCount_understand_0,0.0,62166.0,0.0,711.203947368421,5763.400448777132
channelCommentCount_understand_1,0.0,34661.0,0.0,780.0364025695932,3635.1016676105696
channelVideoCount_understand_0,1.0,109030.0,709.0,9482.315789473685,22796.880746725226
channelVideoCount_understand_1,1.0,140109.0,360.0,3366.927194860814,13772.218065092358
video_duration_understand_0,61.0,1674.0,350.5,419.57236842105266,357.3093082302724
video_duration_understand_1,60.0,6502.0,310.0,556.4925053533191,784.1487589936386
likeCount_understand_0,0.0,252325.0,9.0,4991.5723684210525,26783.573191578365
likeCount_understand_1,0.0,64266.0,94.0,2793.0042826552462,8417.331419858747
dislikeCount_understand_0,0.0,18206.0,1.0,287.1381578947368,1741.7020641096271
dislikeCount_understand_1,0.0,4791.0,5.0,118.02997858672377,427.93714587085566
viewCount_understand_0,4.0,46618529.0,1962.0,565858.9736842106,3993655.9529050947
viewCount_understand_1,5.0,6485312.0,19222.0,274130.65310492506,767106.5835849101
comment_title_cosine_understand_0,0.0,9.49130922731729,0.0,0.766889025995956,1.533155018056216
comment_title_cosine_understand_1,0.0,12.980845483969809,0.200437008100426,1.0614999646920276,1.7499622081157282
comment_description_cosine_understand_0,0.0,13.571818041275792,0.0,1.3829857816050157,2.835886373872949
comment_description_cosine_understand_1,0.0,14.730721892795724,0.5042118842913169,2.1115497033611628,3.0507774049082297
commentCount_understand_0,0.0,19575.0,0.0,497.19736842105266,2425.897597352516
commentCount_understand_1,0.0,10151.0,7.0,305.0642398286938,1113.0525806836506
postive_comment_count_understand_0,0.0,90.0,0.0,12.171052631578947,22.688146777175128
postive_comment_count_understand_1,0.0,80.0,3.0,16.117773019271947,21.846348065186525
negative_comment_count_understand_0,0.0,39.0,0.0,4.532894736842105,9.067018876130378
negative_comment_count_understand_1,0.0,53.0,1.0,6.059957173447537,10.104212481406288
neutral_comment_count_understand_0,0.0,90.0,0.0,5.703947368421052,13.442464501153099
neutral_comment_count_understand_1,0.0,52.0,1.0,6.614561027837259,10.155087203228398
comment_unique_words_understand_0,0.0,5151.0,0.0,569.5526315789474,1103.201282658452
comment_unique_words_understand_1,0.0,4786.0,112.0,653.3640256959314,996.7226295455204
comment_total_words_understand_0,0.0,7681.0,0.0,741.6184210526316,1484.8111300242358
comment_total_words_understand_1,0.0,7211.0,138.0,849.3704496788008,1350.9375689728388
